epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.3016,1.52852,3.2842,1.86553,0.46455,0.46731,0.40526,0.13953,2.13309,3.9426,2.80682,0.000548158,0.000548158,0.000548158
2,25.9246,1.62444,2.30906,1.93041,0.56938,0.2375,0.10676,0.03811,2.44592,4.94413,3.53268,0.00104919,0.00104919,0.00104919
3,36.537,1.76362,2.28656,2.03078,0.04697,0.14423,0.029,0.0081,2.47202,5.81951,3.25429,0.0014952,0.0014952,0.0014952
4,47.1005,1.84258,2.20416,2.07983,0.22755,0.49135,0.2239,0.08146,2.10942,2.80392,2.8569,0.00141945,0.00141945,0.00141945
5,57.6509,1.75574,2.20374,2.05836,0.42908,0.27788,0.31125,0.08654,2.44905,2.5118,3.11251,0.00133693,0.00133693,0.00133693
6,68.1448,1.68999,2.09056,2.00346,0.10866,0.44327,0.08521,0.02761,2.25002,9.01257,2.88583,0.00125442,0.00125442,0.00125442
7,78.6753,1.66181,2.08499,1.95016,0.43215,0.57268,0.43862,0.15701,2.01974,2.11066,2.79963,0.0011719,0.0011719,0.0011719
8,89.2695,1.70682,2.07697,2.00002,0.43915,0.54038,0.52087,0.16498,1.99556,2.10117,2.60504,0.00108938,0.00108938,0.00108938
9,99.8033,1.54764,1.95634,1.86951,0.41591,0.55568,0.40213,0.1771,1.9736,1.97972,2.56795,0.00100687,0.00100687,0.00100687
10,110.386,1.56943,1.86111,1.88658,0.51791,0.63412,0.50618,0.21017,1.99729,1.91197,2.71649,0.000924352,0.000924352,0.000924352
11,121.765,1.60985,1.88697,2.13078,0.56311,0.58679,0.59643,0.24848,1.90997,1.82081,2.50585,0.000841835,0.000841835,0.000841835
12,132.48,1.62777,1.77643,2.09914,0.63839,0.57185,0.60322,0.25898,1.92767,1.82573,2.51656,0.000759318,0.000759318,0.000759318
13,143.046,1.64691,1.65707,2.10012,0.6811,0.58365,0.6934,0.27936,1.93078,1.64403,2.50504,0.000676802,0.000676802,0.000676802
14,153.596,1.48365,1.6138,1.999,0.61321,0.62019,0.64595,0.27234,1.80783,1.72271,2.40904,0.000594286,0.000594286,0.000594286
15,164.106,1.46553,1.51487,1.94302,0.70902,0.73667,0.77541,0.36933,1.78376,1.48532,2.28233,0.000511769,0.000511769,0.000511769
16,174.691,1.43569,1.44311,1.91763,0.80383,0.64562,0.73222,0.35119,1.86246,1.42737,2.41327,0.000429253,0.000429253,0.000429253
17,185.175,1.41386,1.39274,1.91342,0.76646,0.74712,0.7628,0.3699,1.71879,1.39776,2.23617,0.000346736,0.000346736,0.000346736
18,195.726,1.34199,1.31988,1.85742,0.866,0.76731,0.83322,0.42292,1.63245,1.27354,2.16115,0.00026422,0.00026422,0.00026422
19,206.329,1.33406,1.24029,1.8204,0.78201,0.75157,0.81162,0.40867,1.61368,1.31849,2.14029,0.000181703,0.000181703,0.000181703
20,216.966,1.29519,1.22606,1.79271,0.85396,0.75452,0.84261,0.42129,1.59889,1.27676,2.11822,9.91865e-05,9.91865e-05,9.91865e-05
