epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.478,1.51988,3.2709,1.84298,0.40595,0.34904,0.35802,0.12471,2.0169,3.59552,2.94625,0.000548258,0.000548258,0.000548258
2,26.1681,1.62197,2.40239,1.94022,0.11007,0.33846,0.16616,0.06818,2.03081,3.15915,2.70512,0.00104928,0.00104928,0.00104928
3,36.9161,1.80563,2.35789,2.1087,0.24252,0.42008,0.2179,0.06278,2.46306,3.25781,3.63384,0.00149529,0.00149529,0.00149529
4,47.5987,1.79194,2.27606,2.05121,0.27567,0.42212,0.25214,0.08835,2.40185,3.08927,3.50771,0.00141945,0.00141945,0.00141945
5,58.3153,1.75338,2.20672,2.01069,0.10483,0.425,0.11732,0.04769,2.35331,4.89547,2.91937,0.00133693,0.00133693,0.00133693
6,68.9766,1.77067,2.21322,2.05581,0.27272,0.54135,0.26517,0.10743,1.98459,3.02312,2.61904,0.00125442,0.00125442,0.00125442
7,79.5786,1.67245,2.06551,1.9687,0.38545,0.51,0.41873,0.13098,2.18261,2.38551,2.70783,0.0011719,0.0011719,0.0011719
8,90.0539,1.65123,2.01729,1.92445,0.52616,0.55288,0.48048,0.16507,2.13939,1.98933,2.67752,0.00108938,0.00108938,0.00108938
9,100.629,1.7025,2.02417,1.9375,0.6171,0.53173,0.57919,0.23339,1.90514,2.17929,2.57649,0.00100687,0.00100687,0.00100687
10,111.316,1.6032,1.99601,1.91686,0.7145,0.48173,0.6011,0.27114,1.84597,1.96058,2.50211,0.000924352,0.000924352,0.000924352
11,122.778,1.65376,2.02647,2.1785,0.49391,0.53409,0.55002,0.24001,1.92575,1.91869,2.53477,0.000841835,0.000841835,0.000841835
12,133.422,1.62171,1.83261,2.10016,0.42615,0.49254,0.49141,0.20068,1.97636,1.81783,2.46,0.000759318,0.000759318,0.000759318
13,144.101,1.54311,1.66779,2.02451,0.64658,0.565,0.60103,0.26351,1.88075,1.78122,2.43618,0.000676802,0.000676802,0.000676802
14,154.756,1.55966,1.67726,2.04542,0.63973,0.67692,0.65847,0.27663,1.94063,1.67795,2.45239,0.000594286,0.000594286,0.000594286
15,165.398,1.49353,1.5595,1.98668,0.66857,0.61554,0.66566,0.2839,1.97189,1.59052,2.522,0.000511769,0.000511769,0.000511769
16,176.099,1.45011,1.49605,1.91796,0.68771,0.66058,0.72031,0.32485,1.78297,1.47984,2.3342,0.000429253,0.000429253,0.000429253
17,188.86,1.37482,1.4056,1.89623,0.73318,0.70549,0.76893,0.35426,1.74831,1.33104,2.27393,0.000346736,0.000346736,0.000346736
18,199.509,1.3505,1.38018,1.84754,0.78246,0.76154,0.79537,0.37269,1.74547,1.28625,2.28105,0.00026422,0.00026422,0.00026422
19,210.2,1.30867,1.3283,1.8026,0.76882,0.71048,0.79705,0.38767,1.66805,1.33239,2.20369,0.000181703,0.000181703,0.000181703
20,220.864,1.2962,1.32937,1.81134,0.80967,0.79231,0.82677,0.38853,1.70238,1.29102,2.23634,9.91865e-05,9.91865e-05,9.91865e-05
