epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.7708,1.5518,2.718,1.90444,0.24973,0.43077,0.22582,0.06528,2.37516,2.70214,3.08317,0.000551962,0.000551962,0.000551962
2,46.3795,1.69894,2.18415,2.01573,0.30813,0.4375,0.23377,0.06751,2.43134,2.67354,3.0918,0.0010528,0.0010528,0.0010528
3,67.0846,1.72294,2.14462,2.05549,0.19882,0.36731,0.18664,0.06592,2.33547,3.20065,3.0389,0.00149863,0.00149863,0.00149863
4,87.6803,1.72671,2.13467,2.02831,0.35778,0.41882,0.32412,0.09828,2.14537,2.70184,3.01448,0.00141945,0.00141945,0.00141945
5,108.319,1.73471,2.07559,2.00816,0.39667,0.46368,0.40214,0.14768,2.20495,2.47673,2.80295,0.00133693,0.00133693,0.00133693
6,128.994,1.62146,2.01529,1.96822,0.3913,0.46731,0.43291,0.14697,1.99773,2.41247,2.58364,0.00125442,0.00125442,0.00125442
7,149.565,1.62788,1.97016,1.95135,0.44829,0.44488,0.40632,0.1533,2.11506,2.21926,2.82715,0.0011719,0.0011719,0.0011719
8,170.209,1.60018,1.89183,1.92511,0.68956,0.47692,0.54436,0.21662,1.97095,1.89215,2.57444,0.00108938,0.00108938,0.00108938
9,190.847,1.52736,1.83918,1.87317,0.64699,0.60531,0.68236,0.28509,1.94675,1.63031,2.49912,0.00100687,0.00100687,0.00100687
10,211.487,1.54266,1.78166,1.87413,0.60445,0.60385,0.63461,0.24902,1.92148,1.70931,2.56374,0.000924352,0.000924352,0.000924352
11,232.892,1.54083,1.76458,2.10866,0.74879,0.64366,0.72569,0.32342,1.81055,1.562,2.42917,0.000841835,0.000841835,0.000841835
12,253.488,1.52922,1.58552,2.08473,0.63418,0.59615,0.66755,0.31254,1.7693,1.62264,2.28112,0.000759318,0.000759318,0.000759318
13,274.015,1.47349,1.49195,2.02777,0.81104,0.63558,0.77229,0.37889,1.8083,1.38561,2.2678,0.000676802,0.000676802,0.000676802
14,294.632,1.42827,1.35284,1.9936,0.74313,0.78534,0.81017,0.35847,1.76327,1.43697,2.41301,0.000594286,0.000594286,0.000594286
15,315.195,1.41671,1.33062,1.95562,0.82464,0.63884,0.76483,0.42354,1.67895,1.3153,2.19599,0.000511769,0.000511769,0.000511769
16,335.804,1.38042,1.23366,1.90474,0.79246,0.72574,0.78958,0.42797,1.67021,1.28238,2.18966,0.000429253,0.000429253,0.000429253
17,356.411,1.34762,1.19279,1.90544,0.78902,0.71933,0.80919,0.40701,1.7383,1.29383,2.2492,0.000346736,0.000346736,0.000346736
18,376.986,1.29103,1.07194,1.82912,0.75304,0.70385,0.76251,0.40507,1.68373,1.33603,2.16783,0.00026422,0.00026422,0.00026422
19,397.549,1.28661,1.04153,1.82775,0.81283,0.78177,0.81173,0.39684,1.68987,1.21343,2.19282,0.000181703,0.000181703,0.000181703
20,418.111,1.21093,0.98043,1.76096,0.80831,0.75962,0.79385,0.4185,1.6685,1.22093,2.15173,9.91865e-05,9.91865e-05,9.91865e-05
