epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.3048,1.46726,2.68938,1.7943,0.71194,0.28846,0.28745,0.09645,2.20821,2.62327,2.73481,0.000551912,0.000551912,0.000551912
2,45.5173,1.71029,2.14242,2.02165,0.28872,0.49904,0.36165,0.12878,2.06619,2.67911,2.99664,0.00105275,0.00105275,0.00105275
3,65.8802,1.71852,2.09835,2.00715,0.03025,0.21731,0.01913,0.00543,2.68458,5.58326,3.63874,0.00149858,0.00149858,0.00149858
4,86.1667,1.7222,2.08847,1.96487,0.25813,0.47404,0.20324,0.07027,2.20883,2.93129,2.80301,0.00141945,0.00141945,0.00141945
5,106.439,1.63274,1.96864,1.94071,0.23323,0.50673,0.28348,0.11063,2.20046,2.28832,2.76626,0.00133693,0.00133693,0.00133693
6,126.734,1.61861,2.00835,1.92792,0.30826,0.50192,0.29822,0.09968,2.33745,2.30859,2.86753,0.00125442,0.00125442,0.00125442
7,147.095,1.61505,1.95611,1.93026,0.55032,0.44085,0.48325,0.18614,2.15669,2.17592,2.91527,0.0011719,0.0011719,0.0011719
8,167.413,1.54362,1.86684,1.87625,0.64881,0.59459,0.63444,0.25548,1.99418,1.75921,2.63938,0.00108938,0.00108938,0.00108938
9,187.714,1.51695,1.75229,1.83902,0.69115,0.58697,0.64732,0.2555,1.95025,1.75633,2.47406,0.00100687,0.00100687,0.00100687
10,208.061,1.44513,1.70192,1.79547,0.6912,0.57491,0.69084,0.27628,1.84988,1.66296,2.47325,0.000924352,0.000924352,0.000924352
11,229.343,1.50856,1.68568,2.03536,0.63538,0.67618,0.69913,0.31146,1.78191,1.54081,2.27924,0.000841835,0.000841835,0.000841835
12,249.603,1.45171,1.52585,1.96191,0.69228,0.59252,0.67693,0.34765,1.63815,1.57365,2.16401,0.000759318,0.000759318,0.000759318
13,269.971,1.38299,1.32944,1.88231,0.7814,0.7517,0.82286,0.40612,1.70125,1.33632,2.22748,0.000676802,0.000676802,0.000676802
14,290.308,1.32331,1.23146,1.82994,0.7751,0.68862,0.78686,0.32732,1.7569,1.42607,2.23198,0.000594286,0.000594286,0.000594286
15,310.569,1.24745,1.12998,1.73429,0.80988,0.67317,0.77673,0.35857,1.64433,1.45345,2.12575,0.000511769,0.000511769,0.000511769
16,330.928,1.22918,1.11985,1.73421,0.84712,0.72333,0.82511,0.43589,1.47122,1.16056,1.9281,0.000429253,0.000429253,0.000429253
17,351.222,1.18304,1.00104,1.69345,0.76419,0.78146,0.85787,0.43738,1.58578,1.2007,2.07884,0.000346736,0.000346736,0.000346736
18,371.546,1.14063,0.97225,1.65927,0.82888,0.74712,0.86054,0.45879,1.54627,1.13217,2.03783,0.00026422,0.00026422,0.00026422
19,391.838,1.07355,0.90737,1.57548,0.88594,0.8063,0.89202,0.48141,1.47874,1.05742,1.97923,0.000181703,0.000181703,0.000181703
20,412.103,1.04621,0.86066,1.57397,0.85439,0.78364,0.87867,0.48744,1.48225,1.02462,1.96762,9.91865e-05,9.91865e-05,9.91865e-05
