epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.3667,1.49246,2.69228,1.80889,0.10809,0.31731,0.13212,0.05415,2.33891,2.97568,2.90744,0.000551912,0.000551912,0.000551912
2,45.597,1.68109,2.1725,1.98307,0.1643,0.45338,0.16455,0.05299,2.20858,3.79156,3.02308,0.00105275,0.00105275,0.00105275
3,65.926,1.73381,2.16496,2.01182,0.22839,0.55288,0.2758,0.08888,2.25348,3.59228,2.91269,0.00149858,0.00149858,0.00149858
4,86.2813,1.70776,2.06599,1.98157,0.46793,0.39135,0.3935,0.12402,2.21534,2.68748,2.82151,0.00141945,0.00141945,0.00141945
5,106.605,1.68516,1.96024,1.96339,0.3095,0.35096,0.33299,0.12194,2.01968,3.04774,2.7568,0.00133693,0.00133693,0.00133693
6,126.85,1.61241,1.91101,1.90782,0.59793,0.55288,0.50414,0.19803,2.07725,2.0841,2.5804,0.00125442,0.00125442,0.00125442
7,147.075,1.62449,1.9438,1.90871,0.58099,0.53638,0.63418,0.24549,2.08365,1.78976,2.65453,0.0011719,0.0011719,0.0011719
8,166.855,1.52068,1.83436,1.82526,0.57472,0.49327,0.57921,0.20664,2.07371,1.88446,2.6115,0.00108938,0.00108938,0.00108938
9,186.943,1.52685,1.7145,1.8359,0.73493,0.47019,0.60669,0.24235,1.89707,1.66009,2.42475,0.00100687,0.00100687,0.00100687
10,207.245,1.44525,1.67332,1.78302,0.77891,0.77404,0.77448,0.30945,1.77923,1.4492,2.29598,0.000924352,0.000924352,0.000924352
11,228.599,1.47017,1.62307,1.98593,0.73708,0.58269,0.67777,0.29265,1.86852,1.64252,2.40824,0.000841835,0.000841835,0.000841835
12,248.831,1.43541,1.46002,1.94061,0.68148,0.78558,0.79146,0.34349,1.8559,1.51152,2.37252,0.000759318,0.000759318,0.000759318
13,269.006,1.35703,1.31834,1.84708,0.82095,0.67573,0.7671,0.32791,1.89638,1.43026,2.49542,0.000676802,0.000676802,0.000676802
14,289.245,1.31015,1.20491,1.80664,0.71408,0.73455,0.78826,0.35226,1.79009,1.40362,2.32538,0.000594286,0.000594286,0.000594286
15,309.529,1.25609,1.14345,1.7513,0.91245,0.7083,0.83646,0.42292,1.7459,1.22061,2.31196,0.000511769,0.000511769,0.000511769
16,329.877,1.24061,1.05859,1.74679,0.85852,0.77981,0.85026,0.41386,1.69242,1.11325,2.21309,0.000429253,0.000429253,0.000429253
17,349.962,1.1776,0.98674,1.68021,0.83274,0.80267,0.85632,0.4227,1.7038,1.10605,2.22679,0.000346736,0.000346736,0.000346736
18,369.756,1.13469,0.9654,1.64497,0.84817,0.74532,0.84577,0.42909,1.67207,1.09043,2.1794,0.00026422,0.00026422,0.00026422
19,389.919,1.04536,0.86964,1.55362,0.88727,0.75915,0.8872,0.44128,1.63078,1.02993,2.15029,0.000181703,0.000181703,0.000181703
20,410.257,1.00864,0.82113,1.54244,0.84987,0.79292,0.87639,0.43132,1.6763,0.99155,2.1984,9.91865e-05,9.91865e-05,9.91865e-05
