epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.085,1.4956,2.64845,1.82366,0.35016,0.42981,0.31174,0.1124,2.06712,2.49796,2.80119,0.000551912,0.000551912,0.000551912
2,45.2104,1.69164,2.14251,1.99027,0.26177,0.51154,0.3041,0.09696,2.50031,3.82685,3.18613,0.00105275,0.00105275,0.00105275
3,65.5485,1.75221,2.14181,2.03987,0.21474,0.33269,0.3018,0.09991,2.22548,2.82391,2.79129,0.00149858,0.00149858,0.00149858
4,85.823,1.72522,2.09006,1.99551,0.39604,0.45416,0.35385,0.11201,2.1015,2.66937,2.62484,0.00141945,0.00141945,0.00141945
5,106.105,1.65369,1.98595,1.94915,0.4776,0.49541,0.45533,0.15551,2.20315,2.07817,2.80444,0.00133693,0.00133693,0.00133693
6,126.429,1.65621,1.95315,1.93657,0.41421,0.56442,0.45082,0.15306,2.20205,2.04457,2.90218,0.00125442,0.00125442,0.00125442
7,146.8,1.60909,1.94514,1.91794,0.57157,0.62019,0.61694,0.25473,1.80755,1.78397,2.43104,0.0011719,0.0011719,0.0011719
8,167.191,1.53292,1.85896,1.85526,0.67032,0.58506,0.66519,0.29851,1.82141,1.6977,2.2773,0.00108938,0.00108938,0.00108938
9,187.541,1.50906,1.73971,1.82865,0.74481,0.61465,0.69093,0.24406,2.08387,1.6767,2.70155,0.00100687,0.00100687,0.00100687
10,207.849,1.46505,1.66471,1.79377,0.75336,0.72981,0.7508,0.30844,1.92001,1.54496,2.39307,0.000924352,0.000924352,0.000924352
11,229.218,1.56786,1.74891,2.05833,0.42417,0.66696,0.52907,0.24347,1.89121,1.86072,2.44853,0.000841835,0.000841835,0.000841835
12,249.483,1.44988,1.54948,1.95968,0.73807,0.72115,0.77594,0.39402,1.62587,1.43573,2.12942,0.000759318,0.000759318,0.000759318
13,269.839,1.37792,1.38432,1.8954,0.8715,0.69615,0.79973,0.35548,1.85911,1.41372,2.40878,0.000676802,0.000676802,0.000676802
14,290.127,1.36288,1.25484,1.86391,0.76865,0.68365,0.78238,0.42806,1.61371,1.41942,2.12768,0.000594286,0.000594286,0.000594286
15,310.439,1.28092,1.14041,1.78331,0.85114,0.70962,0.79931,0.42496,1.69107,1.26639,2.1749,0.000511769,0.000511769,0.000511769
16,330.71,1.23862,1.0968,1.75282,0.8465,0.77981,0.85295,0.42158,1.7396,1.17004,2.24492,0.000429253,0.000429253,0.000429253
17,351.027,1.20403,1.05119,1.72923,0.86752,0.78221,0.83858,0.42859,1.65292,1.23299,2.12833,0.000346736,0.000346736,0.000346736
18,371.349,1.13717,0.97019,1.65014,0.89233,0.79031,0.86788,0.47532,1.59826,1.13833,2.05695,0.00026422,0.00026422,0.00026422
19,391.676,1.07788,0.91406,1.58696,0.87109,0.81731,0.88212,0.4575,1.56088,1.07969,2.10095,0.000181703,0.000181703,0.000181703
20,411.916,1.05851,0.86623,1.58037,0.87944,0.83654,0.89114,0.49095,1.49292,1.02858,1.99676,9.91865e-05,9.91865e-05,9.91865e-05
