epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.3954,1.4936,2.74699,1.82343,0.39592,0.37981,0.28147,0.10053,2.13335,2.36903,2.75351,0.000551912,0.000551912,0.000551912
2,45.5687,1.68477,2.08198,1.96355,0.09069,0.34038,0.11576,0.03013,2.59161,2.94333,3.34787,0.00105275,0.00105275,0.00105275
3,66.0159,1.71534,2.16279,2.00498,0.32864,0.54615,0.34744,0.10417,2.19851,2.70512,2.88252,0.00149858,0.00149858,0.00149858
4,86.4112,1.72544,2.07682,1.99968,0.23922,0.30096,0.16591,0.04502,2.40584,3.55009,2.90819,0.00141945,0.00141945,0.00141945
5,106.715,1.62274,1.97019,1.91945,0.36473,0.57178,0.37751,0.11596,2.31384,2.19149,2.92653,0.00133693,0.00133693,0.00133693
6,127.062,1.6568,1.92628,1.92403,0.62258,0.64135,0.5756,0.19682,2.15797,1.96709,2.69505,0.00125442,0.00125442,0.00125442
7,147.466,1.6265,1.93815,1.90975,0.53036,0.57811,0.5938,0.26015,1.94272,1.73049,2.46551,0.0011719,0.0011719,0.0011719
8,167.855,1.55631,1.8665,1.86916,0.77987,0.54537,0.63966,0.26365,1.97567,1.7568,2.57819,0.00108938,0.00108938,0.00108938
9,188.231,1.53182,1.74888,1.85035,0.63165,0.46357,0.49846,0.18624,2.12225,1.95044,2.82458,0.00100687,0.00100687,0.00100687
10,208.566,1.48898,1.69886,1.82338,0.62163,0.71661,0.75068,0.30865,1.89754,1.58018,2.45731,0.000924352,0.000924352,0.000924352
11,229.882,1.55232,1.70541,2.05504,0.72277,0.59038,0.67386,0.32031,1.89409,1.63613,2.33331,0.000841835,0.000841835,0.000841835
12,250.235,1.44817,1.54262,1.94353,0.69684,0.62692,0.71611,0.30948,1.91408,1.52191,2.39625,0.000759318,0.000759318,0.000759318
13,270.492,1.3841,1.34906,1.85726,0.71322,0.77588,0.78768,0.33483,1.90348,1.37398,2.45332,0.000676802,0.000676802,0.000676802
14,290.783,1.35179,1.2974,1.85504,0.76058,0.74668,0.83322,0.40754,1.61101,1.2522,2.10434,0.000594286,0.000594286,0.000594286
15,311.097,1.33162,1.16246,1.80632,0.86104,0.73462,0.84976,0.37511,1.79426,1.23693,2.29705,0.000511769,0.000511769,0.000511769
16,331.31,1.24779,1.11856,1.74364,0.84123,0.78558,0.83927,0.3913,1.7253,1.16992,2.15825,0.000429253,0.000429253,0.000429253
17,351.564,1.21644,1.0574,1.70927,0.85331,0.72976,0.87046,0.42586,1.717,1.20231,2.14467,0.000346736,0.000346736,0.000346736
18,371.877,1.15611,0.97876,1.65323,0.83161,0.78458,0.86885,0.43572,1.64675,1.16113,2.08599,0.00026422,0.00026422,0.00026422
19,392.165,1.08602,0.91698,1.60064,0.80929,0.81304,0.87692,0.45292,1.59653,1.10626,2.09904,0.000181703,0.000181703,0.000181703
20,412.485,1.06762,0.87473,1.59994,0.85867,0.83559,0.89227,0.45718,1.61074,1.11668,2.10916,9.91865e-05,9.91865e-05,9.91865e-05
