epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.509,1.39705,2.10629,1.70401,0.42871,0.44544,0.40206,0.18488,1.80444,2.2044,2.304,0.000554989,0.000554989,0.000554989
2,237.254,1.5798,2.02105,1.85357,0.51755,0.55108,0.50297,0.21332,1.7191,1.79452,2.20777,0.00108866,0.00108866,0.00108866
3,351.953,1.56067,1.97104,1.8382,0.54116,0.46186,0.46537,0.19437,1.86362,2.05091,2.29281,0.00160034,0.00160034,0.00160034
4,466.263,1.49748,1.88635,1.7934,0.66952,0.5985,0.63851,0.34147,1.53557,1.51063,1.99186,0.00156798,0.00156798,0.00156798
5,580.817,1.41418,1.74079,1.72749,0.69649,0.62439,0.69277,0.3882,1.45663,1.36978,1.92974,0.00153497,0.00153497,0.00153497
6,695.198,1.35569,1.65752,1.66838,0.7124,0.64625,0.71167,0.40183,1.40906,1.29806,1.90008,0.00150197,0.00150197,0.00150197
7,809.717,1.31164,1.56235,1.63482,0.72604,0.66978,0.73015,0.42185,1.37505,1.23385,1.86722,0.00146896,0.00146896,0.00146896
8,924.155,1.26765,1.46282,1.60067,0.74667,0.69128,0.75939,0.43951,1.35758,1.2101,1.82653,0.00143595,0.00143595,0.00143595
9,1038.57,1.26394,1.46408,1.60428,0.80868,0.7038,0.78589,0.47764,1.286,1.11702,1.77713,0.00140295,0.00140295,0.00140295
10,1152.92,1.23831,1.38035,1.58249,0.82986,0.70416,0.79613,0.49656,1.27177,1.04658,1.76557,0.00136994,0.00136994,0.00136994
11,1267.85,1.19109,1.33733,1.54938,0.84953,0.73835,0.82496,0.52259,1.20383,1.00852,1.68156,0.00133693,0.00133693,0.00133693
12,1382.3,1.19064,1.27374,1.52968,0.7599,0.70291,0.79647,0.49203,1.28304,1.10467,1.75497,0.00130393,0.00130393,0.00130393
13,1496.73,1.15435,1.26772,1.51669,0.7844,0.74763,0.81232,0.51491,1.23103,0.99772,1.74518,0.00127092,0.00127092,0.00127092
14,1611.07,1.14606,1.22411,1.49775,0.85674,0.7589,0.84038,0.54919,1.17248,0.92842,1.65278,0.00123791,0.00123791,0.00123791
15,1725.4,1.13692,1.20333,1.48952,0.7883,0.76101,0.82348,0.53404,1.1774,0.95303,1.66231,0.00120491,0.00120491,0.00120491
16,1839.86,1.12778,1.18226,1.49358,0.84426,0.75509,0.8431,0.55936,1.15041,0.93562,1.63024,0.0011719,0.0011719,0.0011719
